ID,adj.P.Val,P.Value,F,Gene.symbol
209878_s_at,0.0117114,5.62E-04,7.99245,RELA
213407_at,0.0117114,5.62E-04,7.99138,PHLPP2
243150_at,0.0117114,5.63E-04,7.99056,
232377_at,0.0117114,5.63E-04,7.99036,NXPH1
38269_at,0.0117114,5.63E-04,7.99017,PRKD2
234981_x_at,0.0117114,5.63E-04,7.98978,CMBL
36566_at,0.0117114,5.63E-04,7.98923,CTNS
226973_at,0.0117114,5.63E-04,7.98881,VSTM2L
220115_s_at,0.01171743,5.64E-04,7.98739,CDH10
218387_s_at,0.01171743,5.64E-04,7.98702,PGLS
236998_at,0.01172061,5.64E-04,7.98611,COA3
222313_at,0.01173255,5.65E-04,7.98394,
228184_at,0.01173255,5.65E-04,7.98362,DISP1
229892_at,0.01174235,5.66E-04,7.98192,EP400NL
213506_at,0.01175131,5.67E-04,7.98032,F2RL1
223963_s_at,0.01175841,5.67E-04,7.97894,IGF2BP2
235115_at,0.01176763,5.68E-04,7.97688,PDE8B
227630_at,0.01176763,5.68E-04,7.97678,PPP2R5E
227449_at,0.01176775,5.68E-04,7.97623,EPHA4
209369_at,0.01178644,5.70E-04,7.97348,ANXA3
222903_s_at,0.01178675,5.70E-04,7.97291,CPEB1
231815_at,0.01178756,5.70E-04,7.97229,PHF12
212619_at,0.01179708,5.71E-04,7.97063,NEMP1
227610_at,0.01180002,5.71E-04,7.96975,TSPAN11
233123_at,0.01184808,5.74E-04,7.96254,SLC40A1
242352_at,0.01184808,5.74E-04,7.96187,NIPBL
232169_x_at,0.01184808,5.74E-04,7.96181,MIR7113///MIR4691///NDUFS8
203618_at,0.01184808,5.74E-04,7.9616,FAIM2
217999_s_at,0.01184808,5.74E-04,7.96142,PHLDA1
222310_at,0.01186011,5.75E-04,7.95947,SCAF4
231908_at,0.01186013,5.75E-04,7.95894,ZDHHC18
208932_at,0.01186321,5.76E-04,7.95759,PPP4C
213815_x_at,0.01186321,5.76E-04,7.95753,CACTIN
203607_at,0.01187027,5.77E-04,7.95617,INPP5F
221859_at,0.01187734,5.77E-04,7.95481,SYT13
1562600_at,0.01188069,5.78E-04,7.95371,
241661_at,0.01188069,5.78E-04,7.95322,JMJD1C
221561_at,0.01188069,5.79E-04,7.95122,SOAT1
209884_s_at,0.01188069,5.79E-04,7.95119,SLC4A7
233573_s_at,0.01188069,5.79E-04,7.95062,WDR6
236841_at,0.01188069,5.79E-04,7.95034,LOC100134445
244111_at,0.01188069,5.79E-04,7.94977,KRT222
207826_s_at,0.01188069,5.79E-04,7.94974,ID3
221620_s_at,0.01188069,5.79E-04,7.94969,APOO
201324_at,0.01188115,5.80E-04,7.94868,EMP1
237646_x_at,0.01188115,5.80E-04,7.94859,PLEKHG5
217679_x_at,0.01188897,5.80E-04,7.94714,
244383_at,0.01190611,5.81E-04,7.94454,
211580_s_at,0.01190611,5.82E-04,7.94397,PIK3R3
201962_s_at,0.01190611,5.82E-04,7.94356,RNF41
239439_at,0.01192833,5.83E-04,7.94043,AFF4
215385_at,0.01192962,5.84E-04,7.93946,
204306_s_at,0.01192962,5.84E-04,7.93924,CD151
1552712_a_at,0.01193106,5.84E-04,7.93854,NMNAT2
202728_s_at,0.01193383,5.84E-04,7.9377,LTBP1
243166_at,0.01194122,5.85E-04,7.93625,SLC30A5
218976_at,0.01194122,5.85E-04,7.93547,DNAJC12
243282_at,0.01194122,5.86E-04,7.93457,CCDC93
210281_s_at,0.01194122,5.86E-04,7.93445,ZMYM2
228125_at,0.01194122,5.86E-04,7.93423,ZSCAN30
228950_s_at,0.01194488,5.86E-04,7.93298,WLS
228416_at,0.01194488,5.86E-04,7.93276,ACVR2A
215434_x_at,0.01194772,5.87E-04,7.93191,LOC102724250///NBPF26///NBPF19///NBPF10///NBPF15///NBPF11///NBPF1///NBPF14
228543_at,0.01195934,5.88E-04,7.93003,PET117
206765_at,0.0119617,5.88E-04,7.92924,KCNJ2
1556039_s_at,0.01197793,5.89E-04,7.92638,GPR173
1569004_at,0.01197793,5.89E-04,7.9263,CARD8-AS1
243514_at,0.01198336,5.90E-04,7.92492,WDFY2
223894_s_at,0.01198336,5.90E-04,7.92463,AKTIP
216177_at,0.01201999,5.92E-04,7.91986,
236907_at,0.01202611,5.92E-04,7.91863,
206208_at,0.01203487,5.93E-04,7.9171,CA4
1565635_at,0.01206158,5.95E-04,7.91278,
208698_s_at,0.01206158,5.95E-04,7.91261,NONO
224184_s_at,0.01206158,5.95E-04,7.91245,BOC
1559022_at,0.01206791,5.96E-04,7.9112,EFCAB14
206745_at,0.01213108,5.99E-04,7.90341,HOXC11
236249_at,0.0121332,5.99E-04,7.90265,IKBIP
237864_at,0.01214709,6.00E-04,7.90054,
236000_s_at,0.01216346,6.01E-04,7.89815,
212838_at,0.01216525,6.01E-04,7.89743,DNMBP
226601_at,0.01217888,6.02E-04,7.89517,SLC30A7
212525_s_at,0.01217888,6.03E-04,7.89484,H2AFX
235272_at,0.01219528,6.04E-04,7.89245,SBSN
235803_at,0.01220292,6.04E-04,7.89096,
223494_at,0.01220292,6.04E-04,7.89055,MGEA5
244370_at,0.01221096,6.05E-04,7.88912,KIAA2022
228859_at,0.01221296,6.05E-04,7.88838,ZGRF1
243210_at,0.01223028,6.06E-04,7.8859,
1555269_a_at,0.01223967,6.07E-04,7.88399,ANO1
237434_x_at,0.01223967,6.07E-04,7.8838,MSANTD1
206441_s_at,0.01224118,6.08E-04,7.88312,COMMD4
241506_at,0.01224385,6.08E-04,7.8823,
219417_s_at,0.01224679,6.08E-04,7.88144,BORCS6
239154_at,0.01224679,6.09E-04,7.88082,
208873_s_at,0.01224679,6.09E-04,7.88043,REEP5
232416_at,0.01225281,6.09E-04,7.87924,CELF5
225468_at,0.01227939,6.11E-04,7.87554,PATL1
213162_at,0.01227939,6.11E-04,7.8752,DYNC1LI2
218474_s_at,0.01228016,6.11E-04,7.8746,KCTD5
226062_x_at,0.01228471,6.12E-04,7.87288,FAM63A
219642_s_at,0.01228471,6.12E-04,7.87258,PEX5L
219081_at,0.01228471,6.12E-04,7.87256,ANKHD1-EIF4EBP3///ANKHD1
221702_s_at,0.01229509,6.13E-04,7.86979,TM2D3
210469_at,0.01229509,6.14E-04,7.86931,DLG5
1554530_at,0.01229509,6.14E-04,7.86928,VSTM2A
211744_s_at,0.01229509,6.14E-04,7.86908,CD58
